date,sentimiento_promedio,interpretacion,numero_posts
2025-03-04,0.25414,Positivo,5
2025-03-05,0.009937500000000002,Neutral,8
2025-03-06,-0.2466,Negativo,1
2025-03-12,-0.62995,Negativo,2
2025-03-13,0.24753333333333336,Positivo,3
2025-03-14,-0.09965555555555555,Negativo,9
2025-03-18,-0.5267,Negativo,1
2025-03-19,0.6369,Positivo,1
2025-03-20,0.3669,Positivo,4
2025-03-21,0.36535,Positivo,8
2025-03-22,0.37457142857142856,Positivo,7
2025-03-24,-0.11333333333333334,Negativo,3
2025-03-25,-0.7184,Negativo,1
2025-03-26,-0.1313,Negativo,3
2025-03-27,0.076725,Positivo,20
2025-03-28,0.3577571428571429,Positivo,7
2025-03-29,-0.0129,Neutral,2
2025-03-30,0.045125,Neutral,4
2025-03-31,0.12311111111111112,Positivo,9
2025-04-01,0.37677499999999997,Positivo,4
2025-04-02,-0.1888,Negativo,3
2025-04-03,0.20015384615384618,Positivo,13
2025-04-04,0.04971538461538461,Neutral,13
2025-04-05,-0.046883333333333325,Neutral,6
2025-04-06,-0.10347727272727272,Negativo,22
2025-04-07,0.05396111111111111,Positivo,54
2025-04-08,-0.013944444444444443,Neutral,45
